54 0.55 0.33 0.77
0.0000	0.6637
-0.0442	0.5752
-0.0442	0.5310
-0.0885	0.5310
-0.0885	0.4690
-0.0442	0.4690
-0.0619	0.3982
-0.0885	0.3982
-0.1062	0.3540
-0.7522	0.3540
-0.8850	0.3363
-0.9735	0.2655
-1.0000	0.2212
-0.9912	0.1770
-0.9292	0.1150
-0.8142	0.0442
-0.5487	-0.0354
-0.3186	-0.0708
-0.1150	-0.0885
-0.1062	-0.1770
-0.0708	-0.4867
-0.0531	-0.6195
-0.2832	-0.7345
-0.2655	-0.9027
-0.0885	-0.9027
-0.0442	-0.8850
0.0000	-0.9735
0.0442	-0.8850
0.0885	-0.9027
0.2655	-0.9027
0.2832	-0.7345
0.0531	-0.6195
0.0708	-0.4867
0.1062	-0.1770
0.1150	-0.0885
0.3186	-0.0708
0.5487	-0.0354
0.8142	0.0442
0.9292	0.1150
0.9912	0.1770
1.0000	0.2212
0.9735	0.2655
0.8850	0.3363
0.7522	0.3540
0.1062	0.3540
0.0885	0.3982
0.0619	0.3982
0.0442	0.4690
0.0885	0.4690
0.0885	0.5310
0.0442	0.5310
0.0442	0.5752
0.0000	0.6637
